Slang	Associated Drug
glad stuff	cocaine
glass	methamphetamine
glob	marijuana concentrates/hash oil
globo	balloon of heroin
gloria	marijuana
goat	heroin
god’s drug	morphine
god’s flesh	psilocybin mushrooms
god’s medicine	opium
go-fast	methamphetamine
go-go	methamphetamine
gold	crack cocaine; marijuana
gold dust	cocaine
gold leaf	marijuana
gold star	marijuana
golden dragon	lsd (lysergic acid diethylamide)
golden girl	heroin
golf ball	crack cocaine
golf balls	lsd (lysergic acid diethylamide)
goma	heroin; opium
gondola	opium
gong	marijuana
good and plenty	heroin
good giggles	marijuana
good h	heroin
goodfella	fentanyl and fentanyl derivatives
goofball	heroin mixed with methamphetamine
goofballs	amphetamine
goofy	lsd (lysergic acid diethylamide)
goog	ecstasy/mdma/molly
goon	pcp (phencyclidine)
goop	ghb (gamma-hydroxybutyric acid)
gorda	heroin
goric	opium
gorilla	marijuana
gorilla glue	marijuana; marijuana concentrates/hash oil
gorilla tab	pcp (phencyclidine)
gorrilla biscuits	pcp (phencyclidine)
gota	lsd (lysergic acid diethylamide)
grand daddy purp	marijuana
grape parfait	lsd (lysergic acid diethylamide)
gras	heroin
grasin	heroin
grass	marijuana
grasshopper	marijuana
gravel	crack cocaine; synthetic cathinones - alpha- pvp
gravy	heroin
gray stuff	fentanyl and fentanyl derivatives
great bear	fentanyl and fentanyl derivatives
great hormones at
bedtime"	ghb (gamma-hydroxybutyric acid)
great tobacco	opium
great white hope	crack cocaine
green	ketamine (ketalar®); marijuana
green apple	ecstasy/mdma/molly
green button	mescaline/peyote
green crack	marijuana
green dream	synthetic cannabinoids
green eyes	marijuana
green goblin	marijuana
green goddess	marijuana
green gold	cocaine
green k	ketamine (ketalar®)
green leaves	pcp (phencyclidine)
"green mercedes
benz"	marijuana
green paint	marijuana
green peace	synthetic cannabinoids
green skunk	marijuana
green tea	pcp (phencyclidine)
green wedge	lsd (lysergic acid diethylamide)
green-eyed girl	marijuana
greenhouse	marijuana
greenies	acetaminophen and oxycodone combination (percocet®); amphetamine
greens	oxycodone (oxycontin®, roxicodone®, oxaydo®)
grenuda	marijuana
greta	marijuana
grey shields	lsd (lysergic acid diethylamide)
"grievous bodily
harm"	ghb (gamma-hydroxybutyric acid)
g-riffic	ghb (gamma-hydroxybutyric acid)
gringa	cocaine
gringito	cocaine
grit	crack cocaine
groceries	crack cocaine; methamphetamine
grout	cocaine
guardada	marijuana
guerillo	cocaine
gueros	cocaine
guitar	cocaine
guma	opium
gummy bears	marijuana
gunga	marijuana
gym candy	steroids
hail	crack cocaine
hairy	heroin
hairy ones	marijuana
half moon	mescaline/peyote
hamburger	cocaine
hamburger helper	crack cocaine
hammer head	synthetic cannabinoids
handlebars	alprazolam (xanax®)
happy dust	cocaine
happy pill	ecstasy/mdma/molly
happy powder	cocaine
happy trails	cocaine
hard	crack cocaine
hard candy	heroin
hard ones	methamphetamine
hardy one	heroin
hare	methamphetamine
harry	heroin
hash	marijuana
hats	heroin; lsd (lysergic acid diethylamide)
hawaiian	marijuana
hawaiian salt	methamphetamine
hawaiian sunshine	lsd (lysergic acid diethylamide)
hawk	lsd (lysergic acid diethylamide)
haze	lsd (lysergic acid diethylamide)
hazel	heroin
h-caps	heroin
head drugs	amphetamine
headlights	lsd (lysergic acid diethylamide)
heady	marijuana concentrates/hash oil
hearts	amphetamine
heaven	cocaine
heaven and hell	pcp (phencyclidine)
heaven dust	cocaine; heroin
heavenly blue	lsd (lysergic acid diethylamide)
heavy	heroin
heavy one	cocaine
heineken	fentanyl and fentanyl derivatives
helen	heroin
helicopter	heroin
helix	synthetic cannabinoids
hell dust	heroin
he-man	fentanyl and fentanyl derivatives
hemp	marijuana
henry	heroin
henry viii	cocaine
herb	marijuana
hercules	heroin
hero	heroin
hielo	methamphetamine
hierba	marijuana
high heat	cocaine
hikori	mescaline/peyote
hikuli	mescaline/peyote
